DOSSIER_ID,REFERENCE_CHAR,REFERENCE_ANNEE,REFERENCE_NUMERO,REFERENCE_SPLIT,PROCEDURE_COTE,ANNEE_COTE,NUMERO_COTE,Error,VAL_CHP_SUP_01,VAL_CHP_SUP_03,TYPE_EVENEMENT_ID,TR_TYPE_EVENEMENT_DNM,TR_TYPE_EVENEMENT_ABR
105458,COM,1990,474,,,,,,,31990R3230,1260,"Adoption by Council","Formal adoption by Council"
104500,COM,1991,540,2,,,,,,31991R3883,1260,"Adoption by Council","Formal adoption by Council"
105460,COM,1990,475,2,,,,,,31991D0385,1260,"Adoption by Council","Formal adoption by Council"
105462,COM,1990,477,,,,,,,31990R3415,1260,"Adoption by Council","Formal adoption by Council"
11745,COM,1982,556,5,,,,,,31982R3488,1260,"Adoption by Council","Formal adoption by Council"
101960,COM,1992,35,,COD,1992,394,,,31995L0016,1815,"Signature by EP and Council","Signature by EP and Council"
101961,COM,1992,277,,COD,,425,,,31994L0063,1815,"Signature by EP and Council","Signature by EP and Council"
101963,COM,1992,220,,COD,,419,,,31994L0047,1815,"Signature by EP and Council","Signature by EP and Council"
101964,COM,1992,188,,COD,,415,,,31994L0019,1815,"Signature by EP and Council","Signature by EP and Council"
101965,COM,1992,141,,COD,,410,,,31994L0025,1815,"Signature by EP and Council","Signature by EP and Council"
101966,COM,1992,108,,COD,,408,,,31994L0020,1815,"Signature by EP and Council","Signature by EP and Council"
101967,COM,1991,42,,SYN,,522,,,31994L0024,1260,"Adoption by Council","Formal adoption by Council"
101975,COM,1992,404,2,CNS,1992,1027,,,31993R3089,1260,"Adoption by Council","Formal adoption by Council"
101976,COM,1992,470,1,CNS,1992,1032,,,31993D0379,1260,"Adoption by Council","Formal adoption by Council"
101977,COM,1992,470,2,CNS,1992,1033,,,31993D0379,1260,"Adoption by Council","Formal adoption by Council"
101978,COM,1992,475,,,,,,,31993R2053,1260,"Adoption by Council","Formal adoption by Council"
101982,COM,1992,598,2,,,,,,31993D0696,1295,"Partial adoption by Council","Partial adoption by Council"
101983,COM,1992,599,1,CNS,1992,1040,,,31993R0792,1260,"Adoption by Council","Formal adoption by Council"
101984,COM,1993,2,,,,,,,31993R0470,1260,"Adoption by Council","Formal adoption by Council"
104482,COM,1991,518,,,,,,,31992R0344,1260,"Adoption by Council","Formal adoption by Council"
104483,COM,1991,519,1,,,,,,31991R3885,1260,"Adoption by Council","Formal adoption by Council"
104484,COM,1991,519,2,,,,,,31991R3886,1260,"Adoption by Council","Formal adoption by Council"
104486,COM,1991,522,,,,,,,31992D0098,1260,"Adoption by Council","Formal adoption by Council"
104487,COM,1991,524,1,,,,,,31992D0228,1260,"Adoption by Council","Formal adoption by Council"
104488,COM,1991,524,2,,,,,,31992D0229,1260,"Adoption by Council","Formal adoption by Council"
104489,COM,1991,524,3,,,,,,31992D0230,1260,"Adoption by Council","Formal adoption by Council"
100586,COM,1995,694,,,,,,,31996L0090,1260,"Adoption by Council","Formal adoption by Council"
100587,COM,1995,695,,,,,,,31996R0005,1260,"Adoption by Council","Formal adoption by Council"
100588,COM,1995,698,,,,,,,31995R3012,1260,"Adoption by Council","Formal adoption by Council"
100589,COM,1995,699,,ACC,1995,344,,,31996R0447,1260,"Adoption by Council","Formal adoption by Council"
105192,COM,1990,250,,,,,,,31990R1927,1260,"Adoption by Council","Formal adoption by Council"
105193,COM,1990,252,,,,,,,31990R1798,1260,"Adoption by Council","Formal adoption by Council"
105194,COM,1990,253,,,,,,,31990R1730,1260,"Adoption by Council","Formal adoption by Council"
105196,COM,1990,254,2,,,,,,31990R3211,1260,"Adoption by Council","Formal adoption by Council"
105197,COM,1990,254,3,,,,,,41990D0542,1260,"Adoption by Council","Formal adoption by Council"
102298,COM,1993,321,6,,,,,,31994D0049,1260,"Adoption by Council","Formal adoption by Council"
102299,COM,1993,321,7,,,,,,31994D0048,1260,"Adoption by Council","Formal adoption by Council"
102302,COM,1993,323,,CNS,1994,20,,,31994R0230,1260,"Adoption by Council","Formal adoption by Council"
102303,COM,1993,324,,,,,,,31993D0506,1260,"Adoption by Council","Formal adoption by Council"
102304,COM,1993,326,,,,,,,31993D0679,1260,"Adoption by Council","Formal adoption by Council"
102306,COM,1993,328,,CNS,1993,1032,,,31995R2334,1260,"Adoption by Council","Formal adoption by Council"
102307,COM,1993,329,,CNS,1993,1024,,,31994R3295,1260,"Adoption by Council","Formal adoption by Council"
105486,COM,1990,505,,,,,,,31991R1026,1260,"Adoption by Council","Formal adoption by Council"
105487,COM,1990,506,1,,,,,,31990R3734,1260,"Adoption by Council","Formal adoption by Council"
105488,COM,1990,506,2,,,,,,31990R3735,1260,"Adoption by Council","Formal adoption by Council"
105491,COM,1990,511,,,,,,,31992R0356,1260,"Adoption by Council","Formal adoption by Council"
105492,COM,1990,512,,,,,,,31990R3308,1260,"Adoption by Council","Formal adoption by Council"
105496,COM,1990,515,1,,,,,,31990R3831,1260,"Adoption by Council","Formal adoption by Council"
105497,COM,1990,515,2,,,,,,31990R3832,1260,"Adoption by Council","Formal adoption by Council"
105498,COM,1990,515,3,,,,,,31990R3833,1260,"Adoption by Council","Formal adoption by Council"
105499,COM,1990,515,4,,,,,,31990R3834,1260,"Adoption by Council","Formal adoption by Council"
105559,COM,1990,602,2,,,,,,41990D0673,1260,"Adoption by Council","Formal adoption by Council"
105560,COM,1990,603,,,,,,,31990R3913,1260,"Adoption by Council","Formal adoption by Council"
105561,COM,1990,604,,,,,,,31991R0197,1260,"Adoption by Council","Formal adoption by Council"
105562,COM,1990,605,,SYN,1990,315,,,31991D0341,1260,"Adoption by Council","Formal adoption by Council"
105563,COM,1990,607,1,,,,,,31990R3921,1260,"Adoption by Council","Formal adoption by Council"
102100,COM,1993,85,,,,,,,31993R1990,1260,"Adoption by Council","Formal adoption by Council"
11469,COM,1996,369,,SYN,1996,192,,,31999D0296,1260,"Adoption by Council","Formal adoption by Council"
11472,COM,1996,394,2,CNS,1996,199,,,31997R1130,1260,"Adoption by Council","Formal adoption by Council"
11475,COM,1996,413,,SYN,1996,209,,,31998L0020,1260,"Adoption by Council","Formal adoption by Council"
11479,COM,1996,455,,SYN,1996,231,,,31998L0055,1260,"Adoption by Council","Formal adoption by Council"
11480,COM,1996,470,,SYN,1996,240,,,31998L0035,1260,"Adoption by Council","Formal adoption by Council"
11481,COM,1996,490,,ACC,1996,245,,,31998R0190,1260,"Adoption by Council","Formal adoption by Council"
11482,COM,1996,499,2,CNS,1996,249,,,31997r1103,1260,"Adoption by Council","Formal adoption by Council"
11484,COM,1996,533,2,AVC,1996,260,,,31997D0832,1260,"Adoption by Council","Formal adoption by Council"
11485,COM,1996,544,,CNS,1996,261,,,31997D0863,1260,"Adoption by Council","Formal adoption by Council"
11489,COM,1996,611,,CNS,1996,287,,,31997D0531,1260,"Adoption by Council","Formal adoption by Council"
11490,COM,1996,615,,CNS,1996,298,,,31997R1035,1260,"Adoption by Council","Formal adoption by Council"
11491,COM,1996,624,,ACC,1996,296,,,31997D0541,1260,"Adoption by Council","Formal adoption by Council"
11494,COM,1996,680,,,,,,,31997D0136,1260,"Adoption by Council","Formal adoption by Council"
11495,COM,1996,686,,ACC,1997,10,,,31997D0683,1260,"Adoption by Council","Formal adoption by Council"
11496,COM,1996,708,1,,,,,,31997R1255,1260,"Adoption by Council","Formal adoption by Council"
11497,COM,1996,708,2,,,,,,31997R1255,1260,"Adoption by Council","Formal adoption by Council"
101420,COM,1994,443,,ACC,1994,239,,,31994R2798,1260,"Adoption by Council","Formal adoption by Council"
101995,COM,1993,12,,,,,,,31993R3447,1260,"Adoption by Council","Formal adoption by Council"
101997,COM,1993,14,,,,,,,31993D0171,1260,"Adoption by Council","Formal adoption by Council"
101998,COM,1993,15,,,,,,,31993R1272,1260,"Adoption by Council","Formal adoption by Council"
101999,COM,1993,16,,,,,,,31993D0097,1260,"Adoption by Council","Formal adoption by Council"
102000,COM,1993,17,,,,,,,31993D0067,1260,"Adoption by Council","Formal adoption by Council"
102002,COM,1993,18,2,CNS,1993,1002,,,31993D0683,1260,"Adoption by Council","Formal adoption by Council"
102003,COM,1993,19,,,,,,,31993R1571,1260,"Adoption by Council","Formal adoption by Council"
102073,COM,1993,61,1,,,,,,31994D0557,1260,"Adoption by Council","Formal adoption by Council"
102076,COM,1993,63,,,,,,,31993R0611,1260,"Adoption by Council","Formal adoption by Council"
102077,COM,1993,64,,,,,,,31993R0831,1260,"Adoption by Council","Formal adoption by Council"
102078,COM,1993,65,,,,,,,31993R1210,1260,"Adoption by Council","Formal adoption by Council"
102080,COM,1993,67,1,CNS,1993,1009,,,31993R2081,1260,"Adoption by Council","Formal adoption by Council"
100322,COM,1995,351,,ACC,1995,183,,,31995R2651,1260,"Adoption by Council","Formal adoption by Council"
100324,COM,1995,355,,,,,,,31996D0109,1260,"Adoption by Council","Formal adoption by Council"
100337,COM,1995,371,,CNS,1995,198,,,31995R2535,1260,"Adoption by Council","Formal adoption by Council"
100339,COM,1995,376,1,,,,,,31995D0490,1260,"Adoption by Council","Formal adoption by Council"
100342,COM,1995,381,,CNS,1995,206,,,31995D0593,1260,"Adoption by Council","Formal adoption by Council"
100209,COM,1995,200,,SYN,1995,120,,,31995R2819,1260,"Adoption by Council","Formal adoption by Council"
100380,COM,1995,419,,CNS,1995,227,,,31996D0219,1260,"Adoption by Council","Formal adoption by Council"
100381,COM,1995,420,,,,,,,31995R2474,1260,"Adoption by Council","Formal adoption by Council"
100383,COM,1995,422,2,,,,,,31996D0149,1315,"Adoption of act by Commission","Adoption of act by Commission"
100386,COM,1995,426,,ACC,1995,230,,,31995D0582,1260,"Adoption by Council","Formal adoption by Council"
100387,COM,1995,427,1,CNS,1995,233,,,31996R0576,1260,"Adoption by Council","Formal adoption by Council"
100388,COM,1995,427,2,,,,,,31995D0565,1260,"Adoption by Council","Formal adoption by Council"
100389,COM,1995,429,,,,,,,31995R3010,1260,"Adoption by Council","Formal adoption by Council"
139379,SEC,1998,1720,,,,,,22000D1019(10),,100155,"Joint Committee decision","Joint Committee decision"
100592,COM,1995,703,,,,,,,31995R3088,1260,"Adoption by Council","Formal adoption by Council"
100594,COM,1995,705,,,,,,,31995R3089,1260,"Adoption by Council","Formal adoption by Council"
100597,COM,1995,714,,,,,,,31995R3079,1260,"Adoption by Council","Formal adoption by Council"
100598,COM,1995,715,,,,,,,31995R3075,1260,"Adoption by Council","Formal adoption by Council"
100599,COM,1995,716,,,,,,,31995R3076,1260,"Adoption by Council","Formal adoption by Council"
100600,COM,1995,717,,,,,,,31995R3090,1260,"Adoption by Council","Formal adoption by Council"
100601,COM,1995,718,,ACC,1995,345,,,31995R3032,1260,"Adoption by Council","Formal adoption by Council"
100602,COM,1995,719,,,,,,,31996R0149,1260,"Adoption by Council","Formal adoption by Council"
100603,COM,1995,728,,CNS,1995,361,,,31996R0753,1260,"Adoption by Council","Formal adoption by Council"
100605,COM,1995,736,,ACC,1995,354,,,31995D0592,1260,"Adoption by Council","Formal adoption by Council"
100606,COM,1995,738,,,,,,,31996R0137,1260,"Adoption by Council","Formal adoption by Council"
100607,COM,1995,741,,,,,,,31995R3074,1260,"Adoption by Council","Formal adoption by Council"
100608,COM,1995,743,,ACC,1995,365,,,31996R0344,1260,"Adoption by Council","Formal adoption by Council"
100609,COM,1995,746,,,,,,,31996R0245,1260,"Adoption by Council","Formal adoption by Council"
100610,COM,1995,747,,,,,,,31996R0212,1260,"Adoption by Council","Formal adoption by Council"
100392,COM,1995,432,2,,,,,,31995R2229,1260,"Adoption by Council","Formal adoption by Council"
104882,COM,1989,645,,,,,,,31991L0493,1260,"Adoption by Council","Formal adoption by Council"
104883,COM,1989,648,,,,,,,31991L0492,1260,"Adoption by Council","Formal adoption by Council"
104884,COM,1989,653,1,SYN,,236,,,31992L0022,1260,"Adoption by Council","Formal adoption by Council"
104885,COM,1989,653,2,SYN,,237,,,31992L0021,1260,"Adoption by Council","Formal adoption by Council"
104886,COM,1989,653,3,SYN,,238,,,31992L0023,1260,"Adoption by Council","Formal adoption by Council"
104887,COM,1989,655,,,,,,,31991L0067,1260,"Adoption by Council","Formal adoption by Council"
104186,COM,1991,194,,,,,,,31991R1812,1260,"Adoption by Council","Formal adoption by Council"
104888,COM,1989,658,,,,,,,31992L0065,1295,"Partial adoption by Council","Partial adoption by Council"
104888,COM,1989,658,,,,,,,31992L0118,1260,"Adoption by Council","Formal adoption by Council"
104889,COM,1989,659,,,,,,,31990R0112,1260,"Adoption by Council","Formal adoption by Council"
104891,COM,1989,660,2,,,,,,31990R1340,1260,"Adoption by Council","Formal adoption by Council"
104892,COM,1989,660,3,,,,,,31990R1341,1260,"Adoption by Council","Formal adoption by Council"
104893,COM,1989,660,4,,,,,,31990R1342,1260,"Adoption by Council","Formal adoption by Council"
104894,COM,1989,660,5,,,,,,31990R1343,1260,"Adoption by Council","Formal adoption by Council"
104895,COM,1989,660,6,,,,,,31990R1344,1260,"Adoption by Council","Formal adoption by Council"
104896,COM,1989,660,7,,,,,,31990R1345,1260,"Adoption by Council","Formal adoption by Council"
104897,COM,1989,660,8,,,,,,31990R1346,1260,"Adoption by Council","Formal adoption by Council"
104898,COM,1989,660,9,,,,,,31990R1348,1260,"Adoption by Council","Formal adoption by Council"
104899,COM,1989,660,10,,,,,,31990R1349,1260,"Adoption by Council","Formal adoption by Council"
102101,COM,1993,87,,,,,,,31993R0993,1260,"Adoption by Council","Formal adoption by Council"
102104,COM,1993,89,,,,,,,31993R2055,1260,"Adoption by Council","Formal adoption by Council"
102105,COM,1993,90,1,,,,,,31993D0322,1260,"Adoption by Council","Formal adoption by Council"
102106,COM,1993,90,2,,,,,,31993R2718,1260,"Adoption by Council","Formal adoption by Council"
102112,COM,1993,96,2,,,,,,31993L0120,1260,"Adoption by Council","Formal adoption by Council"
102113,COM,1993,96,3,,,,,,31993L0121,1260,"Adoption by Council","Formal adoption by Council"
102114,COM,1993,98,,,,,,,31994D0002,1260,"Adoption by Council","Formal adoption by Council"
102116,COM,1993,100,,,,,,,31993D0239,1260,"Adoption by Council","Formal adoption by Council"
102121,COM,1993,102,,,,,,,31994D0068,1260,"Adoption by Council","Formal adoption by Council"
135499,SEC,1998,1199,,,,,,21998D1120(02),,100155,"Joint Committee decision","Joint Committee decision"
135660,SEC,1998,1206,,,,,,22000D0210(13),,100155,"Joint Committee decision","Joint Committee decision"
135699,SEC,1998,1232,,,,,,22000D0511(01),,100155,"Joint Committee decision","Joint Committee decision"
104073,COM,1991,72,50,,,,,,31991R1744,1260,"Adoption by Council","Formal adoption by Council"
11586,SEC,1996,1568,,ACC,1996,237,,21998D0711(01),,100154,"Association Council decision","Association Council decision"
11595,SEC,1997,573,,ACC,1997,115,,,31998D0489,1260,"Adoption by Council","Formal adoption by Council"
136139,SEC,1998,1234,,,,,,22000D1123(14),,100155,"Joint Committee decision","Joint Committee decision"
131879,SEC,1998,814,,,,,,22000D1019(18),,100155,"Joint Committee decision","Joint Committee decision"
136479,SEC,1998,1325,,CNS,1998,269,,,31999D0297,1260,"Adoption by Council","Formal adoption by Council"
136759,SEC,1998,1364,,,,,,,31998D0545,1260,"Adoption by Council","Formal adoption by Council"
137199,SEC,1998,1461,,,,,,22000D1109(24),,100155,"Joint Committee decision","Joint Committee decision"
137899,SEC,1998,1551,,,,,,22000D1019(10),,100155,"Joint Committee decision","Joint Committee decision"
138199,SEC,1998,1608,,,,,,22000D0622(08),,100155,"Joint Committee decision","Joint Committee decision"
138319,SEC,1998,1606,,,,,,31999B0211,,1810,"Signature of budget by EP","Signature of budget by EP"
104109,COM,1991,101,,,,,,,31991L0465,1260,"Adoption by Council","Formal adoption by Council"
138579,SEC,1998,1634,,,,,,22000D0622(07),,100155,"Joint Committee decision","Joint Committee decision"
11458,COM,1996,313,3,CNS,1996,224,,,31997R1310,1260,"Adoption by Council","Formal adoption by Council"
11461,COM,1996,335,2,SYN,1996,207,,,31998R2196,1260,"Adoption by Council","Formal adoption by Council"
11464,COM,1996,350,,CNS,1996,183,,,31998R1181,1260,"Adoption by Council","Formal adoption by Council"
11465,COM,1996,352,,ACC,1996,188,,,31997R1300,1260,"Adoption by Council","Formal adoption by Council"
11466,COM,1996,361,,CNS,1996,221,,,31997R2309,1260,"Adoption by Council","Formal adoption by Council"
104673,SEC,1991,1109,2,,,,,,31991R3900,1260,"Adoption by Council","Formal adoption by Council"
104679,SEC,1991,1133,,,,,,,31991R2380,1260,"Adoption by Council","Formal adoption by Council"
104150,COM,1991,151,,,,,,,31992D0097,1260,"Adoption by Council","Formal adoption by Council"
104692,SEC,1991,1223,2,,,,,,31994D0899,1295,"Partial adoption by Council","Partial adoption by Council"
104692,SEC,1991,1223,2,,,,,,31994D0900,1260,"Adoption by Council","Formal adoption by Council"
104874,COM,1989,376,,CNS,1989,1032,,,31990L0641,1260,"Adoption by Council","Formal adoption by Council"
102016,COM,1993,31,,,,,,,31993R0636,1260,"Adoption by Council","Formal adoption by Council"
102017,COM,1993,33,,,,,,,31993R0958,1260,"Adoption by Council","Formal adoption by Council"
102022,COM,1993,36,4,,,,,,31993R1543,1260,"Adoption by Council","Formal adoption by Council"
102023,COM,1993,36,5,,,,,,31993R1544,1260,"Adoption by Council","Formal adoption by Council"
102024,COM,1993,36,6,,,,,,31993R1545,1260,"Adoption by Council","Formal adoption by Council"
102025,COM,1993,36,7,,,,,,31993R1546,1260,"Adoption by Council","Formal adoption by Council"
102026,COM,1993,36,8,,,,,,31993R1547,1260,"Adoption by Council","Formal adoption by Council"
102027,COM,1993,36,9,,,,,,31993R1549,1260,"Adoption by Council","Formal adoption by Council"
104900,COM,1989,660,11,,,,,,31990R1350,1260,"Adoption by Council","Formal adoption by Council"
104901,COM,1989,660,12,,,,,,31990R1351,1260,"Adoption by Council","Formal adoption by Council"
104902,COM,1989,660,13,,,,,,31990R1352,1260,"Adoption by Council","Formal adoption by Council"
104903,COM,1989,660,14,,,,,,31990R1353,1260,"Adoption by Council","Formal adoption by Council"
104904,COM,1989,660,15,,,,,,31990R1354,1260,"Adoption by Council","Formal adoption by Council"
104905,COM,1989,660,16,,,,,,31990R1312,1260,"Adoption by Council","Formal adoption by Council"
104906,COM,1989,660,17,,,,,,31990R1313,1260,"Adoption by Council","Formal adoption by Council"
104908,COM,1989,660,19,,,,,,31990R1355,1260,"Adoption by Council","Formal adoption by Council"
104909,COM,1989,660,20,,,,,,31990R1315,1260,"Adoption by Council","Formal adoption by Council"
104910,COM,1989,660,21,,,,,,31990R1356,1260,"Adoption by Council","Formal adoption by Council"
104911,COM,1989,660,22,,,,,,31990R1358,1260,"Adoption by Council","Formal adoption by Council"
104912,COM,1989,660,23,,,,,,31990R1359,1260,"Adoption by Council","Formal adoption by Council"
104913,COM,1989,660,24,,,,,,31990R1316,1260,"Adoption by Council","Formal adoption by Council"
104914,COM,1989,660,25,,,,,,31990R1317,1260,"Adoption by Council","Formal adoption by Council"
104915,COM,1989,660,26,,,,,,31990R1318,1260,"Adoption by Council","Formal adoption by Council"
104916,COM,1989,660,27,,,,,,31990R1319,1260,"Adoption by Council","Formal adoption by Council"
104917,COM,1989,660,28,,,,,,31990R1320,1260,"Adoption by Council","Formal adoption by Council"
104918,COM,1989,660,29,,,,,,31990R1321,1260,"Adoption by Council","Formal adoption by Council"
104919,COM,1989,660,30,,,,,,31990R1189,1260,"Adoption by Council","Formal adoption by Council"
104920,COM,1989,660,31,,,,,,31990R1190,1260,"Adoption by Council","Formal adoption by Council"
104921,COM,1989,660,32,,,,,,31990R1191,1260,"Adoption by Council","Formal adoption by Council"
104923,COM,1989,660,34,,,,,,31990R1192,1260,"Adoption by Council","Formal adoption by Council"
104924,COM,1989,660,35,,,,,,31990R1180,1260,"Adoption by Council","Formal adoption by Council"
101289,COM,1994,303,1,CNS,1994,168,,,31994D0782,1260,"Adoption by Council","Formal adoption by Council"
101291,COM,1994,304,,,,,,,31994R3192,1260,"Adoption by Council","Formal adoption by Council"
101366,COM,1994,400,,,,,,31996B0200,,1810,"Signature of budget by EP","Signature of budget by EP"
101367,COM,1994,401,,CNS,1994,213,,,31995L0070,1260,"Adoption by Council","Formal adoption by Council"
101368,COM,1994,402,,CNS,1994,216,,,31994D0822,1260,"Adoption by Council","Formal adoption by Council"
101369,COM,1994,403,,CNS,1994,212,,,31994R3318,1260,"Adoption by Council","Formal adoption by Council"
101370,COM,1994,404,,CNS,1994,217,,,31994R3116,1260,"Adoption by Council","Formal adoption by Council"
101371,COM,1994,405,1,CNS,1994,214,,,31994D0998,1260,"Adoption by Council","Formal adoption by Council"
101372,COM,1994,405,2,CNS,1994,1009,,,31994D1067,1260,"Adoption by Council","Formal adoption by Council"
101373,COM,1994,407,,,,,,,31994R2620,1260,"Adoption by Council","Formal adoption by Council"
101375,COM,1994,409,,CNS,1994,218,,,31994D0938,1260,"Adoption by Council","Formal adoption by Council"
101376,COM,1994,410,,CNS,1994,219,,,31994D0939,1260,"Adoption by Council","Formal adoption by Council"
101379,COM,1994,414,2,ACC,1994,226,,,31994R3287,1260,"Adoption by Council","Formal adoption by Council"
101380,COM,1994,414,3,ACC,1994,227,,,31994R3289,1260,"Adoption by Council","Formal adoption by Council"
101381,COM,1994,414,4,CNS,1994,228,,,31994R3290,1260,"Adoption by Council","Formal adoption by Council"
101884,COM,1994,544,,ACC,1994,282,,,31994R3191,1260,"Adoption by Council","Formal adoption by Council"
102282,COM,1993,308,,,,,,,31993R1993,1260,"Adoption by Council","Formal adoption by Council"
100428,COM,1995,475,,CNS,1995,252,,,31996R2113,1260,"Adoption by Council","Formal adoption by Council"
116987,COM,1985,802,,,,,,,31985R3805,1260,"Adoption by Council","Formal adoption by Council"
106496,COM,1989,475,,,,,,,31989R3885,1260,"Adoption by Council","Formal adoption by Council"
138359,C,1998,2980,,,,,,,31998D0581,1260,"Adoption by Council","Formal adoption by Council"
168699,COM,2001,603,,,,,,,32001R2156,1260,"Adoption by Council","Formal adoption by Council"
184431,COM,2003,439,2,AVC,2003,160,,,32006D0377,1260,"Adoption by Council","Formal adoption by Council"
193156,COM,2005,335,,,,,,,32005R1371,1260,"Adoption by Council","Formal adoption by Council"
106981,COM,1988,73,,,,,,,31989L0391,1260,"Adoption by Council","Formal adoption by Council"
191819,COM,2004,661,,,,,,22006D0082,,100154,"Association Council decision","Association Council decision"
191819,COM,2004,661,,,,,,,32006D0082,1260,"Adoption by Council","Formal adoption by Council"
191672,COM,2004,576,,,,,,,32004D0793,1260,"Adoption by Council","Formal adoption by Council"
194181,COM,2006,198,,,,,,,32006D0503,1260,"Adoption by Council","Formal adoption by Council"
192011,COM,2004,754,1,,,,,,32006D0376,1260,"Adoption by Council","Formal adoption by Council"
166520,COM,2001,366,,,,,,,32003G0218(02),100034,"Council resolution","Council resolution"
166520,COM,2001,366,,,,,,,32002G0410(02),100034,"Council resolution","Council resolution"
171760,COM,2002,72,,,,,,,32002G0706(01),100034,"Council resolution","Council resolution"
193072,SEC,2005,855,,,,,,22006D0041,,100155,"Joint Committee decision","Joint Committee decision"
192549,COM,2005,51,5,,,,,22006D0111,,100434,"Decision of the ACP-EC Council of Ministers","ACP-EC Coun Ministers Decision"
193651,SEC,2005,1611,,,,,,22006D0038,,100155,"Joint Committee decision","Joint Committee decision"
193771,SEC,2005,1791,,,,,,22006D0040,,100155,"Joint Committee decision","Joint Committee decision"
192264,COM,2004,810,,,,,,,32005D0884,1260,"Adoption by Council","Formal adoption by Council"
192181,SEC,2004,1434,,,,,,22006D0305,,100155,"Joint Committee decision","Joint Committee decision"
192193,SEC,2004,1444,,,,,,22006D0287,,100155,"Joint Committee decision","Joint Committee decision"
175005,COM,2002,375,,COD,2002,152,,,32003L0115,1815,"Signature by EP and Council","Signature by EP and Council"
175099,COM,2002,404,,COD,2002,164,,,32003R2152,1815,"Signature by EP and Council","Signature by EP and Council"
175218,COM,2002,401,,COD,2002,165,,,32003D2317,1815,"Signature by EP and Council","Signature by EP and Council"
192964,COM,2005,244,,,,,,,32005D0923,1260,"Adoption by Council","Formal adoption by Council"
177050,COM,2002,562,,CNS,2002,247,,,32004L0080,1260,"Adoption by Council","Formal adoption by Council"
179231,COM,2002,751,,COD,2002,303,,,32003D2318,1815,"Signature by EP and Council","Signature by EP and Council"
179431,COM,2002,765,,COD,2002,304,,,32004L0026,1815,"Signature by EP and Council","Signature by EP and Council"
180470,COM,2003,51,,COD,2003,29,,,32004D0280,1815,"Signature by EP and Council","Signature by EP and Council"
104935,COM,1989,660,46,,,,,,31990R1193,1260,"Adoption by Council","Formal adoption by Council"
104936,COM,1989,660,47,,,,,,31990R1194,1260,"Adoption by Council","Formal adoption by Council"
104937,COM,1989,660,48,,,,,,31990R1195,1260,"Adoption by Council","Formal adoption by Council"
104938,COM,1989,660,49,,,,,,31990R1196,1260,"Adoption by Council","Formal adoption by Council"
104939,COM,1989,660,50,,,,,,31990R1197,1260,"Adoption by Council","Formal adoption by Council"
104940,COM,1989,660,51,,,,,,31990R1198,1260,"Adoption by Council","Formal adoption by Council"
104941,COM,1989,660,52,,,,,,31990R1199,1260,"Adoption by Council","Formal adoption by Council"
104942,COM,1989,660,53,,,,,,31990R1200,1260,"Adoption by Council","Formal adoption by Council"
104943,COM,1989,660,54,,,,,,31990R1201,1260,"Adoption by Council","Formal adoption by Council"
104944,COM,1989,660,55,,,,,,31990R2201,1260,"Adoption by Council","Formal adoption by Council"
104944,COM,1989,660,55,,,,,,31990R1202,1260,"Adoption by Council","Formal adoption by Council"
104945,COM,1989,660,56,,,,,,31990R1203,1260,"Adoption by Council","Formal adoption by Council"
104946,COM,1989,660,57,,,,,,31990R1204,1260,"Adoption by Council","Formal adoption by Council"
104947,COM,1989,660,58,,,,,,31990R1205,1260,"Adoption by Council","Formal adoption by Council"
104948,COM,1989,660,59,,,,,,31990R2202,1260,"Adoption by Council","Formal adoption by Council"
104948,COM,1989,660,59,,,,,,31990R1206,1260,"Adoption by Council","Formal adoption by Council"
104949,COM,1989,660,60,,,,,,31990R1325,1260,"Adoption by Council","Formal adoption by Council"
104950,COM,1989,660,61,,,,,,31990R1326,1260,"Adoption by Council","Formal adoption by Council"
104952,COM,1989,660,63,,,,,,31990R1328,1260,"Adoption by Council","Formal adoption by Council"
104953,COM,1989,660,64,,,,,,31990R1329,1260,"Adoption by Council","Formal adoption by Council"
104954,COM,1989,660,65,,,,,,31990R1330,1260,"Adoption by Council","Formal adoption by Council"
104955,COM,1989,660,66,,,,,,31990R1331,1260,"Adoption by Council","Formal adoption by Council"
104956,COM,1989,660,67,,,,,,31990R1332,1260,"Adoption by Council","Formal adoption by Council"
104957,COM,1989,660,68,CNS,1989,1062,,,31990R1179,1260,"Adoption by Council","Formal adoption by Council"
104958,COM,1989,662,,SYN,,240,,,31991L0441,1260,"Adoption by Council","Formal adoption by Council"
104959,COM,1989,665,,SYN,,239,,,31991L0339,1260,"Adoption by Council","Formal adoption by Council"
104960,COM,1989,667,,CNS,1989,1063,,,31992L0046,1260,"Adoption by Council","Formal adoption by Council"
104962,COM,1989,669,,CNS,1989,1065,,,31992L0005,1260,"Adoption by Council","Formal adoption by Council"
104963,COM,1989,670,,,,,,,31992L0120,1260,"Adoption by Council","Formal adoption by Council"
104963,COM,1989,670,,,,,,,31992L0047,1260,"Adoption by Council","Formal adoption by Council"
104963,COM,1989,670,,,,,,,31991L0498,1260,"Adoption by Council","Formal adoption by Council"
102081,COM,1993,67,2,SYN,,455,,,31993R2082,1260,"Adoption by Council","Formal adoption by Council"
102082,COM,1993,68,,,,,,,31994D0358,1260,"Adoption by Council","Formal adoption by Council"
11784,COM,1993,52,,,,,,,31999D0194,1260,"Adoption by Council","Formal adoption by Council"
11785,COM,1993,155,,SYN,,459,,,31998L0024,1260,"Adoption by Council","Formal adoption by Council"
